player_1,player_2,player_3,player_4,winner
Dry Bones,Goomba,Peach,Wario,Dry Bones
Monty Mole,Rosalina,Shy Guy,Waluigi,Monty Mole
Goomba,Hammer Bro,Peach,Rosalina,Rosalina
Bowser,Luigi,Mario,Peach,Mario
Bowser,Luigi,Mario,Peach,Luigi
Boo,Bowser Jr.,Daisy,Hammer Bro,Daisy
Boo,Bowser Jr.,Daisy,Shy Guy,Shy Guy
Boo,Bowser Jr.,Goomba,Mario,Mario
Koopa,Luigi,Rosalina,Yoshi,Yoshi
Monty Mole,Shy Guy,Waluigi,Wario,Shy Guy
Bowser,Daisy,Hammer Bro,Peach,Peach
Bowser,Daisy,Peach,Yoshi,Yoshi
Rosalina,Shy Guy,Wario,Yoshi,Wario
Rosalina,Shy Guy,Wario,Yoshi,Shy Guy
Bowser,Goomba,Mario,Waluigi,Mario
Dry Bones,Luigi,Mario,Pom Pom,Mario
Boo,Donkey Kong,Dry Bones,Shy Guy,Shy Guy
Boo,Donkey Kong,Goomba,Waluigi,Boo
Boo,Bowser Jr.,Donkey Kong,Dry Bones,Dry Bones
Boo,Bowser Jr.,Donkey Kong,Rosalina,Rosalina
Diddy Kong,Hammer Bro,Rosalina,Waluigi,Waluigi
Monty Mole,Rosalina,Shy Guy,Yoshi,Yoshi
Diddy Kong,Goomba,Rosalina,Yoshi,Diddy Kong
Diddy Kong,Luigi,Rosalina,Wario,Diddy Kong
Diddy Kong,Hammer Bro,Mario,Rosalina,Diddy Kong
Mario,Monty Mole,Peach,Waluigi,Mario
Bowser,Hammer Bro,Peach,Waluigi,Hammer Bro
Bowser,Daisy,Peach,Waluigi,Bowser
Dry Bones,Rosalina,Waluigi,Yoshi,Dry Bones
Daisy,Monty Mole,Waluigi,Yoshi,Monty Mole
Bowser,Hammer Bro,Peach,Rosalina,Bowser
Bowser,Daisy,Peach,Yoshi,Yoshi
Boo,Hammer Bro,Rosalina,Shy Guy,Rosalina
Bowser Jr.,Pom Pom,Shy Guy,Rosalina,Shy Guy
Mario,Peach,Shy Guy,Waluigi,Waluigi
Goomba,Hammer Bro,Mario,Yoshi,Mario
Bowser,Daisy,Peach,Waluigi,Waluigi
Boo,Koopa,Monty Mole,Rosalina,Rosalina
Bowser,Dry Bones,Goomba,Mario,Dry Bones
Bowser,Bowser Jr.,Daisy,Wario,Bowser Jr.
Boo,Goomba,Shy Guy,Waluigi,Boo
Daisy,Mario,Wario,Yoshi,Wario
Luigi,Peach,Waluigi,Yoshi,Luigi
Bowser,Luigi,Mario,Yoshi,Mario
Luigi,Mario,Peach,Yoshi,Mario
Monty Mole,Shy Guy,Wario,Yoshi,Yoshi
Daisy,Donkey Kong,Peach,Rosalina,Rosalina
Bowser,Goomba,Luigi,Mario,Bowser
Daisy,Luigi,Mario,Peach,Mario
Luigi,Mario,Peach,Wario,Peach
Daisy,Luigi,Mario,Peach,Mario
Daisy,Luigi,Mario,Peach,Mario
Daisy,Luigi,Mario,Peach,Mario
Daisy,Luigi,Mario,Peach,Luigi
Boo,Koopa,Shy Guy,Yoshi,Shy Guy
Bowser Jr.,Hammer Bro,Mario,Monty Mole,Mario
Bowser Jr.,Mario,Monty Mole,Rosalina,Mario
Boo,Bowser Jr.,Rosalina,Waluigi,Waluigi
Luigi,Mario,Wario,Yoshi,Wario
Luigi,Mario,Peach,Yoshi,Luigi
